Tweets,"Emotion (+,-,O)","Place in Sentence (B, E, M, R, A)",Total Neutral,Total Positive,Total Negative
"Sho vs. Sho 👀

Pre-order @MLBTheShow MVP Edition, releasing April 5th ➡️  theshow.com https//t.co/PyiFtZO2an",O,M,18,11,1
,O,M,,,
"A manga-inspired cover fit for the MVP. 🔥

@MLBTheShow MVP Edition releases on April 5th. Pre-order now ➡️  theshow.com https//t.co/Xis4gnuO6V",O,M,,,
,O,M,,,
"The Sho 22. 

Pre-order @MLBTheShow, releasing April 5 ➡️ theshow.com https//t.co/jqbsks6rHa",O,E,,,
"It's Sho-Time.

@MLBTheShow's coming April 5. Pre-order now ➡️ theshow.com https//t.co/KHeouIyB11",O,E,,,
"✅ All-time DH leader in HR and RBI
✅ 10x All-Star
✅ 3x World Series Champion
✅ 2013 World Series MVP
✅ 7x Silver Slugger Award Winner
✅ Holds @RedSox single-season HR record (54)
✅ Hall of Famer

Congrats, Big Papi! https//t.co/TU4cYkd8Mn",O,B,,,
,O,M,,,
,O,M,,,
,O,M,,,
,O,M,,,
,O,M,,,
,O,M,,,
A lot of big names are on the move this Winter ➡️ atmlb.com/3xO8lfU https//t.co/oJgHbzP6EA,O,E,,,
The new @Rangers middle infield is 🔥. https//t.co/Ep0MTSx8Pt,+,R,,,
Two of the most dominant pitchers in baseball are now in the same rotation. 👀 https//t.co/hkoQQoHtT5,O,E,,,
"What a transformation! 👏😍

With the help of @ScottsLawn, kids now have a field they deserve. https//t.co/2eGixDtdFX",+,M,,,
,+,,,,
"Three small business owners received a priceless experience of a lifetime at the World Series, thanks to @mastercard. 🙌 https//t.co/JKYLEhTPDs",+,E,,,
👀 https//t.co/MFTN6z4mJk,n/a,A,,,
Thor’s got high aspirations. 👀 https//t.co/fJbkhA31Df,O,E,,,
We are thankful for all of our amazing fans. ❤️ https//t.co/pgb3vzGk4U,+,E,,,
The 2021 #AllMLB First Team. 🔥 https//t.co/SkYhHV3CDv,+,E,,,
The 2021 #AllMLB Second Team. 👏 https//t.co/y4uBxp0jrs,+,E,,,
"Closing out your #AllMLB 1st Team, Liam Hendriks &amp; Josh Hader. 👏 https//t.co/qSrtVGkGtp",+,E,,,
".@bryceharper3. @TheJudge44. @JuanSoto25_.

Your 1st Team #AllMLB outfield. 🔥 https//t.co/KQyk8OYvU5",O,E,,,
Trey Mancini and Buster Posey are your AL &amp; NL Comeback Players of the Year! 👏 https//t.co/KXiZruMHD2,+,E,,,
Enjoy Bryce's 5 longest 💣s of the year. https//t.co/L6ph2Dj1pQ,O,R,,,
"Freddie's getting 'em started early ❤️

📹 @chelseafree5 https//t.co/JlikzD24gl",+,E,,,
,O,,,,
"Don't forget to vote for baseball's best DH, and the rest of your #AllMLB team.

Voting closes in ONE HOUR ➡️ atmlb.com/2cMZvL6 https//t.co/SGXy36FP2E",O,E,,,
"Kansas City's new unis are looking colddd. 🥶
⠀⠀⠀⠀⠀⠀⠀⠀⠀
📷 @Royals https//t.co/Z0fIkR8Fb8",+,E,,,
,O,,,,
