Emoji,Count,Neg Emoji,Neg Count,Pos Emoji,Pos Count
:tulip:,1,,0,,0
:memo:,1,,,,
:eyes:,2,,,,
:mountain:,1,,,,
:camera:,1,,,,
:check_box_with_check:,3,,,,
:backhand_index_pointing_down:,2,,,,
:mushroom:,1,,,,
:Christmas_tree:,2,,,,
:artist_palette:,1,,,,
:herb:,1,,,,
:framed_picture:,1,,,,
:wilted_flower:,1,,,,
:basket:,1,,,,
:recycling_symbol:,1,,,,
:snowflake:,1,,,,
:rainbow:,1,,,,
:round_pushpin:,4,,,,
:potato:,1,,,,
:sparkles:,1,,,,
:milky_way:,1,,,,
:skier:,1,,,,
:Puerto_Rico:,1,,,,
:woman’s_boot:,1,,,,
:ghost:,2,,,,
:candle:,1,,,,
:evergreen_tree:,2,,,,
:sparkling_heart:,1,,,,
:red_heart:,1,,,,
:house:,1,,,,
:honey_pot:,2,,,,
:motorway:,3,,,,
,,,,,
,,,,,
Total,45,,0,,0
