Tweets,"Emotion (+,-,O)","Place in Sentence (B, E, M, R, A)",Total Neutral,Total Positive,Total Negative
"If you need us, we’ll be visiting the Inkwell Isles 🏝️ twitter.com/Arbys/status/1…",O,E,45,47,2
@StudioMDHR toss us a DM. We’ve got an idea. 😉,O,E,,,
@CapcomFighters We’re ready❗,O,E,,,
Judges rate this dunk a 🔟 https//t.co/BmVyO0vGWS,O,R,,,
@CapcomFighters Nicely done. 👏👏,+,E,,,
,+,,,,
,O,M,,,
,O,E,,,
@jazzkabbage Truth❗,O,E,,,
@joshuachilton 😘,+,A,,,
"@XtinaShana 😉 
See you soon for lunch.",+,B,,,
@BallySportsCBUS @BlueJacketsNHL 😎,+,A,,,
@Pacers 🙌,+,A,,,
Time to see who claws their way to the top of the Capcom Cup 2021 Season Finals 👊 @CapcomFighters 📺 twitch.tv/CapcomFighters https//t.co/vTDuwR8kUB,O,M,,,
,O,E,,,
@MadeaMattie Thanks for visiting us. 😎,+,E,,,
@stickyerrlando 😎,+,A,,,
Curlies. Curling. Enough said 🥌 https//t.co/rFquaOMDcP,O,E,,,
"Tag a real Arby’s fan in this love letter 💌

⬜🥩🥩🥩⬜⬜⬜🥩🥩🥩⬜
🥩🥩🥩🥩🥩⬜🥩🥩🥩🥩🥩
🥩🥩🥩🥩🥩🥩🥩🥩🥩🥩🥩
🥩🥩🥩🥩🥩🥩🥩🥩🥩🥩🥩
⬜🥩🥩🥩🥩🥩🥩🥩🥩🥩⬜
⬜⬜🥩🥩🥩🥩🥩🥩🥩⬜⬜
⬜⬜⬜🥩🥩🥩🥩🥩⬜⬜⬜
⬜⬜⬜⬜🥩🥩🥩⬜⬜⬜⬜
⬜⬜⬜⬜⬜🥩⬜⬜⬜⬜⬜",O,E,,,
Someone you know needs these. Tag them below 🏈 https//t.co/6gdQ7o4xNY,O,E,,,
Tag your tastier half ❤️ https//t.co/ah9KxGm4tI,+,E,,,
@GguildRp Come see us 😋,+,E,,,
True love is sharing your curliest fry ❤️,+,E,,,
@Konami we’ve got an idea! Toss us a DM 😉,+,E,,,
@TiaraShapri Thanks for the love. 🙌,+,E,,,
@estfup 😏,+,A,,,
@bmgrisham See ya 🔜 🙌,O,R,,,
,+,E,,,
@jchscougarsb @cora39949010 Happy Birthday 🎉,+,E,,,
@Barstool_LTB We have the receipts. We tried…but it’s not too late! Let’s make it happen. Toss us a DM 👀 https//t.co/7yWSWeODQx,O,E,,,
We have the receipts. We tried…but it’s not too late! Let’s make it happen. Toss us a DM 👀 twitter.com/Barstool_LTB/s… https//t.co/XW3ZqqOkFy,O,E,,,
@emilylbinder @madconroy9 Absolutely perfect 💯,+,E,,,
@MacrodosingPod @ConnerHKnapp @averyzaretsky @madconroy9 You guys looking 🔥,+,R,,,
@MacrodosingPod 😘,+,A,,,
@dandrews61 We’ve got a gift that will allow you to take your fandom to the next level! Toss us a DM for a surprise. 👀,O,E,,,
@FutureDrSmith1 We forgive you. 😉,+,E,,,
@TonyKhan @tntdrama 👀,O,A,,,
👀 twitter.com/TonyKhan/statu…,O,A,,,
@ThaBenBrecheen See ya for lunch today 😉,O,E,,,
We’ve been dabbling in some craveable carpentry 😋 https//t.co/jsYR52XAr0,+,E,,,
@monikfrenko0 😘,+,A,,,
@brianwert13 Thanks for the love. 🙌,+,E,,,
The choice is obvious this Signing Day 🏈 #NSD22 https//t.co/CsPwArimtQ,O,E,,,
@ZR_dude 👀,O,A,,,
@JeremyTBerry @JasonDowneyBOE 🔥🔥,+,A,,,
,+,A,,,
@FunnySupply 🐐,+,R,,,
@ESPNMcGee we heard your nickname in high school was Meat Mountain! Toss us a DM for a surprise. 😉,O,E,,,
No pucks past Crinkle 🚫 https//t.co/z27dryG22r,-,E,,,
@Seriouslytrue32 😉,O,A,,,
@camden_its 😋,+,A,,,
This is your sign to have a gathering at Arby’s. It’ll be magical ✨ https//t.co/fUNY8zKR03,O,E,,,
@SwooshMcDuck 👀,O,A,,,
Meat Mountain fans looking at this like 🥱💤 twitter.com/McDonalds/stat… https//t.co/YViEjMG55M,-,R,,,
,O,R,,,
@TeaStormChaser 🐐,+,R,,,
@BWCFBS @BWalkerSEC Thanks for speaking from your heart! Toss us a DM for a surprise. 👍,+,E,,,
@Pyr0sa See ya 🔜,O,R,,,
@jkline120 👍,+,A,,,
"We have this meats thing all sewn up.

🔥 cross-stitch by leannamakesstuff / TikTok https//t.co/76YnFAJgxT",O,M,,,
@LaurenHess 😉,+,A,,,
@pale_ginger35 😋,+,A,,,
@BlueJacketsNHL 🙋‍♂️,O,A,,,
@BillHegel @ChelsaMessinger 👀,O,A,,,
@ggracemusic That’s what we like to hear. 🔥,+,E,,,
@bravoSooner56 👀,O,A,,,
@LlcKst 🙌,+,A,,,
@The_Onlyamir @Oreo @Waitrapp @Starburst @Skittles @BlazePizza @ChipsAhoy @manscaped @discord @Disney @ChipotleTweets @sunnydelight @tumblr @UtzSnacks @CallofDuty @twix @Heelysworldwide 👀,O,A,,,
@Pasta_Taco Glad to hear you enjoyed it! 🔥,O,E,,,
@DoodleHetch 🔥🔥,+,A,,,
,+,A,,,
"@fforigin We want to chat Paradise with you. Don’t be a stranger, send us a DM 😉 @SquareEnix",+,E,,,
@DestinyTheGame We’re here to talk Witch Queen. Send us a DM and let’s take back the light ☀️ @Bungie,O,E,,,
@TSjadeValkyrie Nice work handling THE HEAT❗🔥,O,E,,,
,E,,,,
We’re crafting mozz and magic 💯 https//t.co/I9FEGUtio6,+,E,,,
@KevOnStage Your secret is safe with us. 😉 Toss us a DM for a surprise. 🙌,+,M,,,
,+,E,,,
@ericalagggs12 We’re blushing ☺️,+,E,,,
@DanWetzel @sullyvol @ByPatForde Were you able to handle THE HEAT❓🔥,O,E,,,
,+,,,,
@JustBeingFranke @Timberwolves @KarlTowns 😂😂,+,E,,,
,+,,,,
@J_Glove_3 👀,O,A,,,
@BPeraza1221 Thanks for taking on the heat❗🔥,O,E,,,
,+,,,,
@IamKingWilliams Apology accepted. 😉,+,E,,,
@sullyvol @ByPatForde @DanWetzel Did you have to reach for the shake?🔥🔥,O,E,,,
,O,,,,
@Ryansi1 Glad you were able to handle the heat❗🔥,O,E,,,
,+,,,,
@KitKatKitiKat Thanks for the love! 🔥,O,E,,,
@mav3r1ck_4 HOT HOT HOT❗🔥,O,E,,,
,+,,,,
@rickyleepotts Were you able to handle the heat? 🔥,O,E,,,
