Emoji,Count,Neg Emoji,Neg Count,Pos Emoji,Pos Count
:desert_island:,1,:yawning_face:,1,:winking_face:,11
:winking_face:,11,,,:face_blowing_a_kiss:',3
:red_exclamation_mark:,6,,,:smiling_face_with_sunglasses:,3
:keycap_10:,1,,,:face_savoring_food:,4
:clapping_hands:,2,,,:smiling_face:,1
:eyes:,12,,,:face_with_tears_of_joy:,2
:television:,2,,,,
:face_blowing_a_kiss:,3,,,,
:smiling_face_with_sunglasses:,3,,,,
:raising_hands:,6,,,,
:oncoming_fist:,1,,,,
:curling_stone:,1,,,,
:love_letter:,1,,,,
:white_large_square:,36,,,,
:cut_of_meat:,63,,,,
:american_football:,2,,,,
:red_heart:,2,,,,
:face_savoring_food:,4,,,,
:smirking_face:,1,,,,
:SOON_arrow:,2,,,,
:party_popper:,1,,,,
:hundred_points:,2,,,,
:fire:,17,,,,
:goat:,2,,,,
:prohibited:,1,,,,
:sparkles:,1,,,,
:yawning_face:,1,,,,
:zzz:,1,,,,
:thumbs_up:,2,,,,
:man_raising_hand:,1,,,,
:sun:,1,,,,
:smiling_face:,1,,,,
:red_question_mark:,1,,,,
:face_with_tears_of_joy:,2,,,,
,,,,,
,,,,,
Totals,194,,1,,24
