Tweets,"Emotion (+,-,O)","Place in Sentence (B, E, M, R, A)",Total Neutral,Total Positive,Total Negative
"We’re wild about you, LaCroix lovers! 💚 Celebrate #WorldWildlifeDay with these fun wallpapers! 🐅😍 Be sure to save them now 🤩 https//t.co/qhyKKYLGve",+,M,110,108,0
,O,M,,,
,+,M,,,
,+,E,,,
@katenorum Enjoy! 🥰,+,E,,,
Three’s a party! 🥳 Which flavor are you drinking today?👇💖 https//t.co/MJlbbKyHuh,+,M,,,
,O,E,,,
,+,E,,,
@erincarly 🥰✨💖,+,A,,,
,O,A,,,
,+,A,,,
@NVisionMarketin @SOBEWFF @Chefjernard Thanks for stopping by! 💖,+,E,,,
@NatJohnson89 @kadeshow Agreed 😉,+,E,,,
@funnyasshiz @askjillian Costume goals 😍,+,E,,,
Adorable! 🥰 twitter.com/BradleyBaskir/…,+,E,,,
@askjillian This is amazing!💖 We appreciate the LaCroix love🥰,+,M,,,
,+,E,,,
@TheX2BusDC 🙌🥰,+,A,,,
,+,A,,,
Blossoming into spring with LaCroix Cherry Blossom! 🌸🥰 https//t.co/0rUZzOcFwQ,O,A,,,
,+,A,,,
We hope your love for LaCroix is blooming on National #FloralDesignDay! 🌸🌷🌟 https//t.co/EVmm7uB5Px,O,E,,,
,O,,,,
,O,,,,
It’s #NationalStrawberryDay and what better way to celebrate than with a Piña Fraíse? 🍓✨😋 https//t.co/gGfClkH3Z0,O,E,,,
,O,,,,
,+,,,,
Just admiring this illustration as we sip on Peach-Pear! 😍✨❤️ (🖌️ @silkyhendesign) https//t.co/eZVpoMcgcI,+,E,,,
,O,,,,
,+,,,,
,O,,,,
LaCroix Cherry Blossom will bring you the perfect twist of sweet and tart! 🌸🥰 https//t.co/k8tAaj5Jv1,O,E,,,
,+,,,,
Agreed 😉 twitter.com/byabigailwarre…,O,E,,,
Mood after your first LaCroix sip = all smiles! 😄💖 (📸 @HallerPeyton) https//t.co/cDVcWw3Z6d,+,E,,,
,+,,,,
,O,,,,
I mean... who doesn't? 😉 twitter.com/mtsioma/status…,O,E,,,
@EmilysOwl Matching to sparkly perfection! ✨😍,O,E,,,
,+,,,,
@srladyy Thanks for the love! 🥰,+,E,,,
