Emoji,Count,Neg Emoji,Neg Count,Pos Emoji,Pos Count
:heart_suit:,2,:astonished_face:,1,:face_blowing_a_kiss:,1
:closed_book:,3,,,:smiling_face_with_hearts:,3
:studio_microphone:,6,,,,
:books:,15,,,,
:eyes:,2,,,,
:face_blowing_a_kiss:,1,,,,
:admission_tickets:,3,,,,
:green_book:,2,,,,
:red_heart:,3,,,,
:globe_showing_Europe-Africa:,1,,,,
:rainbow:,4,,,,
:butterfly:,2,,,,
:anatomical_heart:,2,,,,
:love_letter:,3,,,,
:two_hearts:,2,,,,
:orange_book:,2,,,,
:astonished_face:,1,,,,
:blue_book:,3,,,,
:fountain_pen:,1,,,,
:basketball:,1,,,,
:party_popper:,7,,,,
:smiling_face_with_hearts:,3,,,,
:partying_face:,1,,,,
:see-no-evil_monkey:,1,,,,
:shushing_face:,1,,,,
:snowflake:,1,,,,
:cloud_with_snow:,1,,,,
:cloud_with_rain:,1,,,,
:sun_behind_rain_cloud:,1,,,,
:sun_behind_large_cloud:,1,,,,
:sun_behind_cloud:,1,,,,
:blossom:,1,,,,
:sparkles:,2,,,,
,,,,,
,,,,,
Total,81,,1,,4
