Tweets,"Emotion (+,-,O)","Place in Sentence (B, E, M, R, A)",,,,,,
@lyft omg do we make this official? 🙈,O,E,,,,,,
@lyft i’ll make us a playlist 😌,+,E,,,,,,
"heyyy @lyft, wyd 👀 wanna hang?",O,M,,,,,,
"Wanna break the ice? 🧊👀 Try out Fast Chat Blind Date in Tinder Explore. Answer questions with a mystery member and get to know them before the timer runs out, then match with them to reveal their profile 🔥 https//t.co/mcSg3PscSM",O,E,,,,,,
@awfulannouncing Bill Walton is the 🐐 for this 🔥🔥,+,R and E,,,,,,
@SpotifyNews @Spotify brb gonna go write you a song real quick 🥰,+,E,,,,,,
See if your potential matches pass the vibe check with Music Mode! Our new Explore feature with @Spotify plays Tinder members' Anthems right from their profiles. Get ready to find your musical match! 🎵 https//t.co/LPEugi0dSX,O,E,,,,,,
👀🔥 twitter.com/POPSUGAR/statu…,n/a,A,,,,,,
@Mandy_g1398 @Tinder_India 😏😏 I love a good plot twist,+,B,,,,,,
@wtfsamruddhiiii @Tinder_India i—😭,+,E,,,,,,
@Dreams_on_Paper not this 😭,-,E,,,,,,
@fierce_hs Stay tuned ☺️,+,E,,,,,,
@Chai_n_love sounds like you're heavily filtering your matches after Swipe Night Face 😂,+,E,,,,,,
@MelancholyMalt oh you're KILLING it tonight? 🔪👀,O,E,,,,,,
@______him 🙌🙌🙌,+,A,,,,,,
@CaliKilo ok but who do you think did it 👀,O,E,,,,,,
@walkthisbussy catch me leaving zero crumbs 💅,+,E,,,,,,
@kyayaarmihir 🍵👀,n/a,A,,,,,,
@urlocalshy 👀,n/a,A,,,,,,
@ChristineDana_ now all i can think about is the puppy bunker again 🐶,O,E,,,,,,ISSUES:
@britishfvcker lets check back in two weeks 👀👀,O,E,,,,,,"found some were adding playfulleness to the tweet, such as @lyft omg do we make this official? 🙈 whie not necesarily a pecific emotion"
@jessimousse 🕵️‍♀️,n/a,A,,,,,,"crying emoji used in positive connotation ""killed me"" or bad, but when it is just that it is hard to tell without context"
@pentapenguin_ yessss 🎉🎉,n/a,A,,,,,,@wtfsamruddhiiii @Tinder_India i—😭
