Emoji,Count,Neg Emoji,Neg Count,Pos Emoji,Pos Count
:see-no-evil_monkey:,4,:loudly_crying_face:,2,:relieved_face:,1
:relieved_face:,1,:pleading_face:,3,:smiling_face_with_hearts:,5
:eyes:,16,:face_with_steam_from_nose:,3,:smiling_face:,1
:ice:,1,,,:face_with_tears_of_joy:,1
:fire:,11,,,:winking_face:,1
:goat:,1,,,:smiling_face_with_heart-eyes:,1
:smiling_face_with_hearts:,5,,,:beaming_face_with_smiling_eyes:,1
:musical_note:,1,,,,
:smirking_face:,3,,,,
:loudly_crying_face:,2,,,,
:smiling_face:,1,,,,
:face_with_tears_of_joy:,1,,,,
:kitchen_knife:,1,,,,
:raising_hands:,3,,,,
:nail_polish:,1,,,,
:teacup_without_handle:,1,,,,
:dog_face:,1,,,,
:woman_detective:,1,,,,
:party_popper:,2,,,,
:detective:,1,,,,
:pleading_face:,3,,,,
:blue_heart:,3,,,,
:purple_heart:,3,,,,
:growing_heart:,2,,,,
:growing_heart:,2,,,,
:backhand_index_pointing_right:,2,,,,
:backhand_index_pointing_left:,2,,,,
:red_heart:,2,,,,
:high_voltage:,1,,,,
:clapper_board:,1,,,,
:clapping_hands:,7,,,,
:face_with_steam_from_nose:,3,,,,
:poultry_leg:,1,,,,
:smiling_face_with_heart-eyes:,1,,,,
:american_football:,1,,,,
:woman_dancing:,1,,,,
:beaming_face_with_smiling_eyes:,1,,,,
:two_hearts:,1,,,,
:sparkling_heart:,1,,,,
:eye:,2,,,,
:mouth:,1,,,,
:candle:,12,,,,
:crown:,3,,,,
,,,,,
,,,,,
Total,114,,8,,11
