_type,url,date,content,renderedContent,id,user,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,outlinks,tcooutlinks,media,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags
snscrape.modules.twitter.Tweet,https://twitter.com/Tinder/status/1493761885232979971,2022-02-16 01:39:20+00:00,"@lyft it’s giving luxury, it’s giving opulence","@lyft it’s giving luxury, it’s giving opulence",1493761885232979971,"{'_type': 'snscrape.modules.twitter.User', 'username': 'Tinder', 'id': 625298957, 'displayname': 'Tinder', 'description': 'ur current flame ❤️\u200d🔥 (18+)', 'rawDescription': 'ur current flame ❤️\u200d🔥 (18+)', 'descriptionUrls': None, 'verified': True, 'created': '2012-07-03T05:56:23+00:00', 'followersCount': 207085, 'friendsCount': 280, 'statusesCount': 12535, 'favouritesCount': 30740, 'listedCount': 716, 'mediaCount': 1965, 'location': 'Los Angeles', 'protected': False, 'linkUrl': 'https://youtube.com/c/Tinder', 'linkTcourl': 'https://t.co/QTEM6rELdj', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1407789460335382531/hWIzi8ny_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/625298957/1625167317', 'label': None, 'url': 'https://twitter.com/Tinder'}",1,0,21,2,1493752263789072386,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,1.4937615721533972e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'lyft', 'id': 569569550, 'displayname': 'Lyft', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/lyft'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'lyft', 'id': 569569550, 'displayname': 'Lyft', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/lyft'}]",,,,
snscrape.modules.twitter.Tweet,https://twitter.com/Tinder/status/1493761162223128579,2022-02-16 01:36:28+00:00,@lyft omg do we make this official? 🙈,@lyft omg do we make this official? 🙈,1493761162223128579,"{'_type': 'snscrape.modules.twitter.User', 'username': 'Tinder', 'id': 625298957, 'displayname': 'Tinder', 'description': 'ur current flame ❤️\u200d🔥 (18+)', 'rawDescription': 'ur current flame ❤️\u200d🔥 (18+)', 'descriptionUrls': None, 'verified': True, 'created': '2012-07-03T05:56:23+00:00', 'followersCount': 207085, 'friendsCount': 280, 'statusesCount': 12535, 'favouritesCount': 30740, 'listedCount': 716, 'mediaCount': 1965, 'location': 'Los Angeles', 'protected': False, 'linkUrl': 'https://youtube.com/c/Tinder', 'linkTcourl': 'https://t.co/QTEM6rELdj', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1407789460335382531/hWIzi8ny_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/625298957/1625167317', 'label': None, 'url': 'https://twitter.com/Tinder'}",1,0,10,0,1493752263789072386,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,1.4937608754920899e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'lyft', 'id': 569569550, 'displayname': 'Lyft', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/lyft'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'lyft', 'id': 569569550, 'displayname': 'Lyft', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/lyft'}]",,,,
snscrape.modules.twitter.Tweet,https://twitter.com/Tinder/status/1493760599406174211,2022-02-16 01:34:14+00:00,@lyft this is literally the hottest thing anyone has ever done for me,@lyft this is literally the hottest thing anyone has ever done for me,1493760599406174211,"{'_type': 'snscrape.modules.twitter.User', 'username': 'Tinder', 'id': 625298957, 'displayname': 'Tinder', 'description': 'ur current flame ❤️\u200d🔥 (18+)', 'rawDescription': 'ur current flame ❤️\u200d🔥 (18+)', 'descriptionUrls': None, 'verified': True, 'created': '2012-07-03T05:56:23+00:00', 'followersCount': 207085, 'friendsCount': 280, 'statusesCount': 12535, 'favouritesCount': 30740, 'listedCount': 716, 'mediaCount': 1965, 'location': 'Los Angeles', 'protected': False, 'linkUrl': 'https://youtube.com/c/Tinder', 'linkTcourl': 'https://t.co/QTEM6rELdj', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1407789460335382531/hWIzi8ny_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/625298957/1625167317', 'label': None, 'url': 'https://twitter.com/Tinder'}",1,0,10,0,1493752263789072386,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,1.4937603085354353e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'lyft', 'id': 569569550, 'displayname': 'Lyft', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/lyft'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'lyft', 'id': 569569550, 'displayname': 'Lyft', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/lyft'}]",,,,
snscrape.modules.twitter.Tweet,https://twitter.com/Tinder/status/1493760133955866630,2022-02-16 01:32:23+00:00,@lyft it’s a date babes! calling a Lyft rn,@lyft it’s a date babes! calling a Lyft rn,1493760133955866630,"{'_type': 'snscrape.modules.twitter.User', 'username': 'Tinder', 'id': 625298957, 'displayname': 'Tinder', 'description': 'ur current flame ❤️\u200d🔥 (18+)', 'rawDescription': 'ur current flame ❤️\u200d🔥 (18+)', 'descriptionUrls': None, 'verified': True, 'created': '2012-07-03T05:56:23+00:00', 'followersCount': 207085, 'friendsCount': 280, 'statusesCount': 12535, 'favouritesCount': 30740, 'listedCount': 716, 'mediaCount': 1965, 'location': 'Los Angeles', 'protected': False, 'linkUrl': 'https://youtube.com/c/Tinder', 'linkTcourl': 'https://t.co/QTEM6rELdj', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1407789460335382531/hWIzi8ny_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/625298957/1625167317', 'label': None, 'url': 'https://twitter.com/Tinder'}",1,0,9,0,1493752263789072386,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,1.4937597317137981e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'lyft', 'id': 569569550, 'displayname': 'Lyft', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/lyft'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'lyft', 'id': 569569550, 'displayname': 'Lyft', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/lyft'}]",,,,
snscrape.modules.twitter.Tweet,https://twitter.com/Tinder/status/1493759545222459393,2022-02-16 01:30:02+00:00,@lyft i’ll make us a playlist 😌,@lyft i’ll make us a playlist 😌,1493759545222459393,"{'_type': 'snscrape.modules.twitter.User', 'username': 'Tinder', 'id': 625298957, 'displayname': 'Tinder', 'description': 'ur current flame ❤️\u200d🔥 (18+)', 'rawDescription': 'ur current flame ❤️\u200d🔥 (18+)', 'descriptionUrls': None, 'verified': True, 'created': '2012-07-03T05:56:23+00:00', 'followersCount': 207085, 'friendsCount': 280, 'statusesCount': 12535, 'favouritesCount': 30740, 'listedCount': 716, 'mediaCount': 1965, 'location': 'Los Angeles', 'protected': False, 'linkUrl': 'https://youtube.com/c/Tinder', 'linkTcourl': 'https://t.co/QTEM6rELdj', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1407789460335382531/hWIzi8ny_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/625298957/1625167317', 'label': None, 'url': 'https://twitter.com/Tinder'}",1,0,16,0,1493752263789072386,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,1.493758588518482e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'lyft', 'id': 569569550, 'displayname': 'Lyft', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/lyft'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'lyft', 'id': 569569550, 'displayname': 'Lyft', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/lyft'}]",,,,
snscrape.modules.twitter.Tweet,https://twitter.com/Tinder/status/1493752263789072386,2022-02-16 01:01:06+00:00,"heyyy @lyft, wyd 👀 wanna hang?","heyyy @lyft, wyd 👀 wanna hang?",1493752263789072386,"{'_type': 'snscrape.modules.twitter.User', 'username': 'Tinder', 'id': 625298957, 'displayname': 'Tinder', 'description': 'ur current flame ❤️\u200d🔥 (18+)', 'rawDescription': 'ur current flame ❤️\u200d🔥 (18+)', 'descriptionUrls': None, 'verified': True, 'created': '2012-07-03T05:56:23+00:00', 'followersCount': 207085, 'friendsCount': 280, 'statusesCount': 12535, 'favouritesCount': 30740, 'listedCount': 716, 'mediaCount': 1965, 'location': 'Los Angeles', 'protected': False, 'linkUrl': 'https://youtube.com/c/Tinder', 'linkTcourl': 'https://t.co/QTEM6rELdj', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1407789460335382531/hWIzi8ny_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/625298957/1625167317', 'label': None, 'url': 'https://twitter.com/Tinder'}",45,14,118,12,1493752263789072386,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'lyft', 'id': 569569550, 'displayname': 'Lyft', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/lyft'}]",,,,
snscrape.modules.twitter.Tweet,https://twitter.com/Tinder/status/1492199446611902465,2022-02-11 18:10:46+00:00,"Wanna break the ice? 🧊👀 Try out Fast Chat: Blind Date in Tinder Explore. Answer questions with a mystery member and get to know them before the timer runs out, then match with them to reveal their profile 🔥 https://t.co/mcSg3PscSM","Wanna break the ice? 🧊👀 Try out Fast Chat: Blind Date in Tinder Explore. Answer questions with a mystery member and get to know them before the timer runs out, then match with them to reveal their profile 🔥 https://t.co/mcSg3PscSM",1492199446611902465,"{'_type': 'snscrape.modules.twitter.User', 'username': 'Tinder', 'id': 625298957, 'displayname': 'Tinder', 'description': 'ur current flame ❤️\u200d🔥 (18+)', 'rawDescription': 'ur current flame ❤️\u200d🔥 (18+)', 'descriptionUrls': None, 'verified': True, 'created': '2012-07-03T05:56:23+00:00', 'followersCount': 207085, 'friendsCount': 280, 'statusesCount': 12535, 'favouritesCount': 30740, 'listedCount': 716, 'mediaCount': 1965, 'location': 'Los Angeles', 'protected': False, 'linkUrl': 'https://youtube.com/c/Tinder', 'linkTcourl': 'https://t.co/QTEM6rELdj', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1407789460335382531/hWIzi8ny_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/625298957/1625167317', 'label': None, 'url': 'https://twitter.com/Tinder'}",45,10,36,1,1492199446611902465,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,"[{'_type': 'snscrape.modules.twitter.Video', 'thumbnailUrl': 'https://pbs.twimg.com/ext_tw_video_thumb/1492195027870789640/pu/img/1iWLfk34_O-gLPK9.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1492195027870789640/pu/vid/720x720/lE21luHEO2BXkBEj.mp4?tag=12', 'bitrate': 1280000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1492195027870789640/pu/vid/540x540/EGWfUnF7kjhZOE2w.mp4?tag=12', 'bitrate': 832000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1492195027870789640/pu/vid/320x320/Wp8h4FxNRtTLSWmx.mp4?tag=12', 'bitrate': 432000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1492195027870789640/pu/pl/Nc7TGSeexbomJWGF.m3u8?tag=12&container=fmp4', 'bitrate': None}], 'duration': 42.833, 'views': 6901}]",,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/Tinder/status/1491593071045316608,2022-02-10 02:01:15+00:00,@gottmik just dmed you :),@gottmik just dmed you :),1491593071045316608,"{'_type': 'snscrape.modules.twitter.User', 'username': 'Tinder', 'id': 625298957, 'displayname': 'Tinder', 'description': 'ur current flame ❤️\u200d🔥 (18+)', 'rawDescription': 'ur current flame ❤️\u200d🔥 (18+)', 'descriptionUrls': None, 'verified': True, 'created': '2012-07-03T05:56:23+00:00', 'followersCount': 207085, 'friendsCount': 280, 'statusesCount': 12535, 'favouritesCount': 30740, 'listedCount': 716, 'mediaCount': 1965, 'location': 'Los Angeles', 'protected': False, 'linkUrl': 'https://youtube.com/c/Tinder', 'linkTcourl': 'https://t.co/QTEM6rELdj', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1407789460335382531/hWIzi8ny_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/625298957/1625167317', 'label': None, 'url': 'https://twitter.com/Tinder'}",41,1,434,6,1491592153461624835,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,1.4915921534616248e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'gottmik', 'id': 1331018240470917120, 'displayname': 'Gottmik', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/gottmik'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'gottmik', 'id': 1331018240470917120, 'displayname': 'Gottmik', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/gottmik'}]",,,,
snscrape.modules.twitter.Tweet,https://twitter.com/Tinder/status/1482044431020834816,2022-01-14 17:38:22+00:00,@awfulannouncing Bill Walton is the 🐐 for this 🔥🔥,@awfulannouncing Bill Walton is the 🐐 for this 🔥🔥,1482044431020834816,"{'_type': 'snscrape.modules.twitter.User', 'username': 'Tinder', 'id': 625298957, 'displayname': 'Tinder', 'description': 'ur current flame ❤️\u200d🔥 (18+)', 'rawDescription': 'ur current flame ❤️\u200d🔥 (18+)', 'descriptionUrls': None, 'verified': True, 'created': '2012-07-03T05:56:23+00:00', 'followersCount': 207085, 'friendsCount': 280, 'statusesCount': 12535, 'favouritesCount': 30740, 'listedCount': 716, 'mediaCount': 1965, 'location': 'Los Angeles', 'protected': False, 'linkUrl': 'https://youtube.com/c/Tinder', 'linkTcourl': 'https://t.co/QTEM6rELdj', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1407789460335382531/hWIzi8ny_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/625298957/1625167317', 'label': None, 'url': 'https://twitter.com/Tinder'}",2,1,0,0,1481845002854539264,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,,1.4818450028545393e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'awfulannouncing', 'id': 183675164, 'displayname': 'Awful Announcing', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/awfulannouncing'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'awfulannouncing', 'id': 183675164, 'displayname': 'Awful Announcing', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/awfulannouncing'}]",,,,
snscrape.modules.twitter.Tweet,https://twitter.com/Tinder/status/1474116474268635136,2021-12-23 20:35:29+00:00,@SpotifyNews @Spotify brb gonna go write you a song real quick 🥰,@SpotifyNews @Spotify brb gonna go write you a song real quick 🥰,1474116474268635136,"{'_type': 'snscrape.modules.twitter.User', 'username': 'Tinder', 'id': 625298957, 'displayname': 'Tinder', 'description': 'ur current flame ❤️\u200d🔥 (18+)', 'rawDescription': 'ur current flame ❤️\u200d🔥 (18+)', 'descriptionUrls': None, 'verified': True, 'created': '2012-07-03T05:56:23+00:00', 'followersCount': 207085, 'friendsCount': 280, 'statusesCount': 12535, 'favouritesCount': 30740, 'listedCount': 716, 'mediaCount': 1965, 'location': 'Los Angeles', 'protected': False, 'linkUrl': 'https://youtube.com/c/Tinder', 'linkTcourl': 'https://t.co/QTEM6rELdj', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1407789460335382531/hWIzi8ny_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/625298957/1625167317', 'label': None, 'url': 'https://twitter.com/Tinder'}",3,0,7,0,1474111058730106881,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,1.4741120469081948e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'SpotifyNews', 'id': 159138417, 'displayname': 'Spotify News', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/SpotifyNews'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'SpotifyNews', 'id': 159138417, 'displayname': 'Spotify News', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/SpotifyNews'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'Spotify', 'id': 17230018, 'displayname': 'Spotify', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/Spotify'}]",,,,
